task_id,stage,unit_id,relevance_label,reason
task-list-page,coding,list-virtualize-window,1,Large lists might need virtualization. stage=coding.
task-list-page,coding,list-incremental-prefetch,1,Infinite loading may be a secondary option. stage=coding.
task-list-page,coding,form-duplicate-submit-guard,0,Not implied by task scope. stage=coding.
task-list-page,coding,form-async-validation-feedback,0,Not implied by task scope. stage=coding.
task-list-page,coding,form-submit-recovery,0,Not implied by task scope. stage=coding.
task-list-page,coding,state-optimistic-rollback,0,Not implied by task scope. stage=coding.
task-list-page,coding,state-cache-invalidation,0,Not implied by task scope. stage=coding.
task-list-page,coding,state-stale-response-guard,3,Search/filter changes can race responses. stage=coding.
task-list-page,coding,ux-error-boundary-granularity,0,Not implied by task scope. stage=coding.
task-list-page,coding,ux-empty-state-actionable,2,Search/filter may yield empty results. stage=coding.
task-list-page,coding,ux-fallback-recoverable-errors,0,Not implied by task scope. stage=coding.
task-list-page,coding,responsive-mobile-navigation-density,0,Not implied by task scope. stage=coding.
task-list-page,coding,responsive-long-text-overflow,1,Tables may contain long identifiers. stage=coding.
task-list-page,coding,responsive-dense-dashboard-layout,0,Not implied by task scope. stage=coding.
task-responsive-dashboard,plan,async-explicit-states,3,Metrics summary implies remote data loading. stage=plan.
task-responsive-dashboard,plan,async-stale-cancel,0,Not implied by task scope. stage=plan.
task-responsive-dashboard,plan,async-retry-recover,1,Metrics fetch can fail and need retry. stage=plan.
task-responsive-dashboard,plan,list-pagination-server,0,Not implied by task scope. stage=plan.
task-responsive-dashboard,plan,list-virtualize-window,0,Not implied by task scope. stage=plan.
task-responsive-dashboard,plan,list-incremental-prefetch,0,Not implied by task scope. stage=plan.
task-responsive-dashboard,plan,form-duplicate-submit-guard,0,Not implied by task scope. stage=plan.
task-responsive-dashboard,plan,form-async-validation-feedback,0,Not implied by task scope. stage=plan.
task-responsive-dashboard,plan,form-submit-recovery,0,Not implied by task scope. stage=plan.
task-responsive-dashboard,plan,state-optimistic-rollback,0,Not implied by task scope. stage=plan.
task-responsive-dashboard,plan,state-cache-invalidation,2,Dashboard cards can share cached queries. stage=plan.
task-responsive-dashboard,plan,state-stale-response-guard,0,Not implied by task scope. stage=plan.
task-responsive-dashboard,plan,ux-error-boundary-granularity,2,Multi-module UI benefits from error isolation. stage=plan.
task-responsive-dashboard,plan,ux-empty-state-actionable,0,Not implied by task scope. stage=plan.
task-responsive-dashboard,plan,ux-fallback-recoverable-errors,0,Not implied by task scope. stage=plan.
task-responsive-dashboard,plan,responsive-mobile-navigation-density,1,Narrow layouts may need navigation adjustments. stage=plan.
task-responsive-dashboard,plan,responsive-long-text-overflow,1,Metric labels can be long. stage=plan.
task-responsive-dashboard,plan,responsive-dense-dashboard-layout,3,Dashboard layout density is core requirement. stage=plan.
task-responsive-dashboard,coding,async-explicit-states,3,Metrics summary implies remote data loading. stage=coding.
task-responsive-dashboard,coding,async-stale-cancel,0,Not implied by task scope. stage=coding.
task-responsive-dashboard,coding,async-retry-recover,1,Metrics fetch can fail and need retry. stage=coding.
task-responsive-dashboard,coding,list-pagination-server,0,Not implied by task scope. stage=coding.
task-responsive-dashboard,coding,list-virtualize-window,0,Not implied by task scope. stage=coding.
task-responsive-dashboard,coding,list-incremental-prefetch,0,Not implied by task scope. stage=coding.
task-responsive-dashboard,coding,form-duplicate-submit-guard,0,Not implied by task scope. stage=coding.
task-responsive-dashboard,coding,form-async-validation-feedback,0,Not implied by task scope. stage=coding.
task-responsive-dashboard,coding,form-submit-recovery,0,Not implied by task scope. stage=coding.
task-responsive-dashboard,coding,state-optimistic-rollback,0,Not implied by task scope. stage=coding.
task-responsive-dashboard,coding,state-cache-invalidation,2,Dashboard cards can share cached queries. stage=coding.
task-responsive-dashboard,coding,state-stale-response-guard,0,Not implied by task scope. stage=coding.
task-responsive-dashboard,coding,ux-error-boundary-granularity,2,Multi-module UI benefits from error isolation. stage=coding.
task-responsive-dashboard,coding,ux-empty-state-actionable,0,Not implied by task scope. stage=coding.
task-responsive-dashboard,coding,ux-fallback-recoverable-errors,0,Not implied by task scope. stage=coding.
task-responsive-dashboard,coding,responsive-mobile-navigation-density,1,Narrow layouts may need navigation adjustments. stage=coding.
task-responsive-dashboard,coding,responsive-long-text-overflow,1,Metric labels can be long. stage=coding.
task-responsive-dashboard,coding,responsive-dense-dashboard-layout,3,Dashboard layout density is core requirement. stage=coding.
